ID,INCIDENT-TITLE,DESCRIPTION,INCIDENT-DATE,REPORT-TYPE,VICTIMS,LOCATION
516,"Hindutva extremists disrupted the prayer meeting, beating Pastor and the believers and took five of them to the police station in Mau","On 24th February 2019, Hindutva extremists disrupted the prayer meeting, beating Pastor and the believers and took five of them to the police station in Mau, Uttar Pradesh.

During the church service few hindutva extremists barged in to the prayer meeting and disrupted the meeting and started to beat up Pastor and believers. They took five of them along with Pastor to the police station and later believers were released but they held Pastor in the station.","February 24, 2019","Children,Complicity of authorities,Intimidation/Threats,Physical violence,Restrictions on religious assembly,Women",Women,"Mau,Uttar Pradesh"
517,"Hindutva extremists barged in to the prayer meeting and brutally beaten up the members of the church and misbehaved with the ladies in Palghar","On 24th February 2019, Hindutva extremists barged in to the prayer meeting and brutally beaten up the members of the church and misbehaved with the ladies in Virar East of Palghar Dist of Maharastra.

A mob of hindutva extremists barged in to the prayer meeting and started to beat up the believers and misbehaved with ladies. They stopped the entire service and they created fear among the believers.

Christians went to the police station to register a complaint but gret number of hindutva extremists were present there. Police spoke to the extremists and then to Christians. Christians file a complaint against the extremists FIR No. : 0180, Dt. 24/02/19","February 24, 2019","Children,Damage or desecration of religious property or symbols,Intimidation/Threats,Physical violence,Restrictions on religious assembly,Women",Women,"Maharashtra,Palghar,Thane"
518,"Hindutva extremists disrutped the worship service, stopped forcefully and threatened with dire consequences in Ahmedabad","On 23rd February 2019, Hindutva extremists disrutped the worship service, stopped forcefully and threatened with dire consequences in Ahmedabad, Gujarat.

Pastor is been conducting the Bible studies, Worship service.During the prayer meeting few hindutva extremists barged in to the meeting and stopped them and threatened them not to continue any church activities.","February 23, 2019","Children,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Ahmedabad,Gujarat"
519,"Hindutva extremists destroyed Gideon books stall, threatened them and took away entire New Testament in Agra","On 22nd February 2019, Hindutva extremists destroyed Gideon books stall, threatened them and took away entire New Testament in Agra, Uttar Pradesh.


The Gideon stall at Agra college was attacked by the hindutva extremists and the extremists took away entire New Testament and threatened the representative with dire consequences if they continue to do so.","February 22, 2019","Damage or desecration of religious property or symbols,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Agra,Uttar Pradesh"
520,"Village council gave an ultimatum to leave their Christian faith and if not they will be boycott from the village in Bastar","On 19th February 2019, Village council gave an ultimatum to leave their Christian faith and if not they will be boycott from the village in Bastar, Chattisgarh.

The Village council called a meeting and decided to boycott Christians from the village and warned the Christians to renounce their faith in Christ and to worship the hindu god and goddess. Also decided to not to allow the Christians to take water from public tap / well, daily ratio, caste &amp; residence certificate and cultivate in any of the field and to decided to take off their names from the register and take off all the benefits from the village.

Christians are struggling for water and other essential things from the village.","February 19, 2019","Children,Complicity of authorities,Intimidation/Threats,Restricting access to public spaces and utilities,Restrictions on religious assembly,Tribal,Women",Women,"Bastar,Chhattisgarh"
521,"Hindutva extremists along with the police personnel disrupted the opening ceremony of the church in Robertsganj","On 18th February 2019, Hindutva extremists along with the police personnel disrupted the opening ceremony of the church in Robertsganj, Sonbhadra, Uttar Pradesh.

Bishop, Pastor and believers gathered together for an opening ceremony of the church. A group of hindutva extremists along with police personnel barged in to the meeting and disrupted the meeting and shouted anti Christian slogans later they went away.","February 18, 2019","Children,Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Uttar Pradesh"
522,"Believer denied in giving donation to the Hindu festival and he was threatened by the hindutva extremists in Ranchi","On 18th February 2019, Believer denied in giving donation to the Hindu festival and he was threatened by the hindutva extremists in Khunti,  Ranchi, Jharkhand

Villagers forced a believer's family to renounce his faith in Christ because he didn't give a donation for the hindu pooja. Hindutva extremists threatened the family with dire consequences and warned them that they will be boycotted from any access to the village.","February 18, 2019","Children,Intimidation/Threats,Restricting access to public spaces and utilities,Restrictions on religious assembly,Tribal,Women",Women,"Jharkhand,Khunti,Ranchi"
523,"Believer woman is being threaten by her hard core hindutva husband and forcing her to renouce Christian faith in Baddi Solan.","On 17th February 2019, Believer woman is being threaten by her hard core hindutva husband and forcing her to renounce Christian faith in Baddi Solan, Himachal Pradesh.

Christian woman is being following Christ for the past two years and her husband who is a hardcore hindutva force her to renounce her faith in Christ and he is being threatening frequently","February 17, 2019","Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Himachal Pradesh,Solan"
524,"Naxalite killed a business Christian man informed by the hindutva extremists that he was converting people in to Christianity in Narayanpur","On 17th February 2019, Naxalite killed a business Christian man informed by the hindutva extremists that he was converting people in to Christianity in Kokhameta, Narayanpur, Chattigarh.

It was informed that a believer used to preach the Gospel and he was also a business man in that area. The hindutva extremists gave an false allegation of forceful conversion and also told to the Naxalite that he was an informer to the police. Therefore the naxalite shot him and killed and he was left with his wife and five children.","February 17, 2019","Children,Intimidation/Threats,Murder,Women",Women,"Bastar,Chhattisgarh,Narayanpur"
525,"Hindutva extremists burnt down the church door and made panic among the Christian community in Trichy","On 17th February 2019, Hindutva extremists burnt down the church door and made panic among the Christian community in Koothur, Manachanallur of Trichy District, Tamil Nadu.

After the Sunday worship service, the extremists burnt down the church door and the Christians made a complaint but the authorities were not available to take complaint. The Christians are in a panic.","February 17, 2019","Children,Complicity of authorities,Damage or desecration of religious property or symbols,Intimidation/Threats,Restrictions on religious assembly,Women",Women,"Tamil Nadu"
526,"Children were brought to the church in a van for children&#8217;s ministry from the surrounding places. Hindutva extremists stopped them and slapped the sisters in Chennai","On 13th February 2019, Children were brought to the church in a van for children's ministry from the surrounding places. Hindutva extremists stopped them and slapped the sisters in Thamparam, Chennai, Tamil Nadu. The church was conducting the children program.

As the children were coming in a van, the extremists stopped them and slapped sisters who were taking the classes for the children's program. The extremists came with knives.","February 13, 2019","Children,Intimidation/Threats,Physical violence,Restrictions on religious assembly,Women",Women,"Chennai,Tamil Nadu"
527,"Hindutva extremists along with police personnel came to the church and have asked Pastor to vacate in Chennai","On 12th February 2019, Hindutva extremists along with police personnel came to the church and have asked Pastor to vacate in Chennai, Tamil Nadu.

The extremists barged in to the house and asked Pastor to vacate the house and threatened not to conduct any church activities here. The police personnel came along with the extremists","February 12, 2019","Children,Complicity of authorities,Intimidation/Threats,Women",Women,"Chennai,Tamil Nadu"
528,"Pastor life is in under threat and is been having constant threat from the hindutva extremists in Jaunpur","On 10th February 2019, Pastor life is in under threat and is been having constant threat from the hindutva extremists in Jaunpur, Uttar Pradesh.

Few Pastors were coming in a car from Allahabad after the ministry. Few hindutva extremists threw stones at the car and Pastor is in under constant threat from the extremists.","February 10, 2019","Intimidation/Threats,Restrictions on religious assembly",,"Jaunpur,Uttar Pradesh"
529,"Around 30 hindutva extremists barged into the prayer meeting, abused and stopped the prayer and warned them not to continue any activities in Coimbatore","On 10th February 2019, Around 30 hindutva extremists barged into the prayer meeting, abused and stopped the prayer and warned them not to continue any activities in Coimbatore, Tamil Nadu.

Pastor is been doing the ministry for the past 13 years and having around 30 believers. The extremists barged in to the prayer meeting, threatened the believers not to continue any church activities. The extremists stopped the prayer meeting immediately and also asked Pastor to produce the permission letter.","February 10, 2019","Complicity of authorities,Intimidation/Threats,Restrictions on religious assembly",,"Coimbatore,Tamil Nadu"
